Persian Name,Scientific Name,Description
انجیر برگ‌ریز,Ficus benjamina,فیکوس بنجامین درختچه‌ای زینتی با برگ‌های براق و کوچک است که در نور غیرمستقیم خورشید رشد می‌کند. نیاز به رطوبت متوسط و آبیاری منظم دارد. دمای مناسب بین ۱۶ تا ۲۴ درجه سانتیگراد است. از تغییرات ناگهانی دما و جریان مستقیم هوا باید محافظت شود.
گل چمچه‌ای,Spathiphyllum wallisii,اسپاتی‌فیلوم یا گل صلح گیاهی با گل‌های سفید و برگ‌های براق است که در نور غیرمستقیم رشد می‌کند. نیاز به رطوبت بالا و خاک مرطوب دارد. دمای مناسب بین ۱۸ تا ۳۰ درجه است. برای تصفیه هوا مناسب است و گل‌دهی زیبایی دارد.
دراسنا,Dracaena marginata,دراسنا گیاهی با برگ‌های باریک و بلند است که در نور متوسط تا کم رشد می‌کند. آبیاری متوسط نیاز دارد و باید بین آبیاری‌ها خاک کمی خشک شود. به رطوبت متوسط نیاز دارد و در دمای ۱۸ تا ۲۵ درجه به خوبی رشد می‌کند.
کروتون,Codiaeum variegatum,کروتون گیاهی با برگ‌های رنگارنگ است که به نور زیاد غیرمستقیم نیاز دارد. آبیاری منظم و رطوبت بالا می‌خواهد. دمای مناسب بین ۲۰ تا ۲۷ درجه است. خاک باید همیشه کمی مرطوب باشد اما نه خیس.
دیفن‌باخیا,Dieffenbachia amoena,دیفن‌باخیا گیاهی با برگ‌های پهن و ابلق است که در نور متوسط تا کم رشد می‌کند. نیاز به آبیاری متوسط و رطوبت بالا دارد. دمای مناسب بین ۱۶ تا ۲۷ درجه است. باید از تماس مستقیم با برگ‌ها خودداری شود.
کاکتوس کریسمس,Schlumbergera truncata,کاکتوس کریسمس گیاهی است که در زمستان گل می‌دهد. در نور غیرمستقیم رشد می‌کند و به آبیاری کم نیاز دارد. دمای مناسب بین ۱۵ تا ۲۱ درجه است. در فصل گل‌دهی نیاز به مراقبت بیشتری دارد.
پیلئا,Pilea peperomioides,پیلئا یا گیاه چینی پول با برگ‌های گرد و زیبا، در نور متوسط غیرمستقیم رشد می‌کند. آبیاری متوسط نیاز دارد و باید بین آبیاری‌ها خاک خشک شود. دمای مناسب بین ۱۸ تا ۲۴ درجه است.
فیتونیا,Fittonia albivenis,فیتونیا گیاهی کوچک با برگ‌های رگه‌دار است که در نور کم تا متوسط رشد می‌کند. به رطوبت بالا و آبیاری منظم نیاز دارد. دمای مناسب بین ۱۸ تا ۲۶ درجه است. برای تراریوم مناسب است.
نخشید,Aglaonema commutatum,آگلونما گیاهی با برگ‌های ابلق و زیبا است که در نور کم تا متوسط رشد می‌کند. آبیاری متوسط و رطوبت متوسط نیاز دارد. دمای مناسب بین ۱۸ تا ۲۵ درجه است. برای محیط‌های کم‌نور مناسب است.
مارانتا,Maranta leuconeura,مارانتا یا گیاه دعاخوان با برگ‌های زیبا و الگودار، در نور غیرمستقیم رشد می‌کند. به رطوبت بالا و آبیاری منظم نیاز دارد. دمای مناسب بین ۱۸ تا ۲۷ درجه است. برگ‌ها در شب بسته می‌شوند.
پتوس,Epipremnum aureum,پتوس گیاهی رونده با برگ‌های قلبی‌شکل و سبز است که در شرایط نوری مختلف، از نور کم تا متوسط، رشد می‌کند. این گیاه نیاز به آبیاری منظم دارد و در تصفیه هوای داخلی مؤثر است. این گیاه به راحتی رشد می‌کند و برای مبتدیان مناسب است.
زاموفیلیا,Zamioculcas zamiifolia,زاموفیلیا گیاهی با برگ‌های براق و سبز تیره است که در شرایط نوری کم تا متوسط و با آبیاری کم، به‌خوبی رشد می‌کند. این گیاه به‌دلیل مقاومت بالا و نیاز کم به مراقبت، برای محیط‌های داخلی مناسب است. گیاه زینتی مناسبی برای دکوراسیون داخلی محسوب می‌شود.
سانسوریا,Sansevieria trifasciata,سانسوریا، معروف به زبان مادرشوهر، گیاهی مقاوم با برگ‌های بلند و ایستاده است که در شرایط نوری کم تا زیاد و با آبیاری کم، به‌خوبی رشد می‌کند. این گیاه در تصفیه هوای داخلی مؤثر است و به‌راحتی قابل نگهداری می‌باشد. به نور کم مقاوم است و به مراقبت خاصی نیاز ندارد.
